tv_show,episode,rating,year,total_votes,desc,genre,encoded_title,genre1,genre2,genre3
12 Monkeys,The Beginning Part 2,9.6,2018,1666,"When all hope is lost, Cole must complete his cycle so that his younger self will one day arrive at the end with the answer.","Adventure, Drama, Mystery",tt3148266,Adventure,Drama,Mystery
BoJack Horseman,The Showstopper,9.6,2018,4947,"""Philbert"" is a hit, and filming begins on Season 2. But as BoJack spirals deeper into addiction, he loses his grip on reality.","Animation, Comedy, Drama",tt3398228,Animation,Comedy,Drama
Brooklyn Nine-Nine,The Box,9.6,2018,6427,Jake and Holt spend all night trying to get a confession out of a suspect.,"Comedy, Crime",tt2467372,Comedy,Crime,
How to Get Away with Murder,Live. Live. Live.,9.6,2017,2639,"Annalise is confronted with disturbing news involving one of Isaac's patients. Meanwhile, the investigation into Wes' murder comes to a head, and details of the whereabouts of Laurel's baby are revealed.","Crime, Drama, Mystery",tt3205802,Crime,Drama,Mystery
Nathan for You,Finding Frances,9.6,2017,2394,Nathan attempts to help a Bill Gates impersonator reunite with his long-lost love.,"Documentary, Comedy",tt2297757,Documentary,Comedy,
The 100,Damocles: Part Two,9.6,2018,5683,"Clarke and her friends must risk everything to fight one last battle for survival, only to glimpse an even darker threat to the last living valley on earth.","Drama, Mystery, Sci-Fi",tt2661044,Drama,Mystery,Sci-Fi
Young Justice,Overwhelmed,9.6,2019,1638,"In the calm before the storm, Artemis and Conner journey back to their pasts.","Animation, Action, Adventure",tt1641384,Animation,Action,Adventure
Better Call Saul,Winner,9.6,2018,9802,Jimmy turns the page on his reputation; Lalo tracks a loose end in Gus's operation; Mike is forced to make a difficult decision.,"Crime, Drama",tt3032476,Crime,Drama,
Steven Universe,Lars' Head,9.6,2017,1374,Steven and Lars together on home world learn a lot about how things work there,"Animation, Action, Adventure",tt3061046,Animation,Action,Adventure
Supernatural,ScoobyNatural,9.6,2018,7597,"Sam, Dean, and Castiel are transported into the animated world of Scooby Doo where they join forces with the Scooby gang to solve a ghostly mystery.","Drama, Fantasy, Horror",tt0460681,Drama,Fantasy,Horror
Daredevil,A New Napkin,9.6,2018,8224,"Matt prepares to cross the line, as Dex becomes more dangerous than ever and Fisk enacts his endgame.","Action, Crime, Drama",tt3322312,Action,Crime,Drama
Daredevil,The Devil You Know,9.6,2018,7373,"Driven to the edge, Dex loses his way until he's offered a lifeline by Fisk. Matt comes to Karen for help, which she agrees to give -- on one condition.","Action, Crime, Drama",tt3322312,Action,Crime,Drama
Daredevil,Blindsided,9.6,2018,8698,"While Matt infiltrates a prison to find information on the Albanians, Fisk puts Dex in his crosshairs and a fed-up Foggy goes on the offensive.","Action, Crime, Drama",tt3322312,Action,Crime,Drama
Attack on Titan,Totsugeki,9.6,2017,12708,"While the recruits attempt to reason with Bertholdt, Commander Erwin charges forth in a desperate strategy to topple the Armored Titan.","Animation, Action, Adventure",tt2560140,Animation,Action,Adventure
Mr. Robot,shutdown -r,9.6,2017,7041,"Elliot tries to save Darlene, but things don't go as planned; Mr Robot must decide whether to step up or step back.","Crime, Drama, Thriller",tt4158110,Crime,Drama,Thriller
Code Black,Fallen Angels,9.6,2017,1183,The doctors of Angel's Memorial partner with Center for Disease Control and Prevention to find an antidote for the viral outbreak.,Drama,tt4452630,Drama,,
Adventure Time,Islands Part 6: Min and Marty,9.6,2017,1334,Susan drops a big surprise on Finn and questions about his past are answered.,"Animation, Action, Adventure",tt1305826,Animation,Action,Adventure
Code Black,The Devil's Workshop,9.6,2017,1141,A viral outbreak jeopardizes the doctors and patients of Angel's Memorial.,Drama,tt4452630,Drama,,
Code Black,Unfinished Business,9.6,2017,1283,Guthrie considers an experimental surgery to treat his Parkinson's while adjusting to his new position as the hospital chaplain.,Drama,tt4452630,Drama,,
JoJo's Bizarre Adventure,"Another One Bites the Dust, Part 2",9.6,2016,1042,"Hayato has gone back in time and attempts to warn everyone about Kira, but will he able to stop history from repeating?","Animation, Action, Adventure",tt2359704,Animation,Action,Adventure
Vikings,All His Angels,9.6,2016,12767,King Aelle can't hide his pleasure when Ragnar arrives in a cage and shows him no mercy.,"Action, Adventure, Drama",tt2306299,Action,Adventure,Drama
JoJo's Bizarre Adventure,"Sheer Heart Attack, Part 2",9.6,2016,1024,"With Sheer Heart Attack beaten, Jotaro and Koichi finally encounter Kira himself. It seems like the final battle is underway as Stands clash, but then.....","Animation, Action, Adventure",tt2359704,Animation,Action,Adventure
JoJo's Bizarre Adventure,"Yoshikage Kira Just Wants to Live Quietly, Part 2",9.6,2016,1020,"Shigechi desperately tries to flee from Yoshikage Kira and Killer Queen, which can turn anything into a bomb. As he perishes, Shigechi gets a clue to Josuke and the others that sets them on a new path.","Animation, Action, Adventure",tt2359704,Animation,Action,Adventure
Steven Universe,The Trial,9.6,2017,1537,Steven goes to court with the Diamonds and is put on trial.,"Animation, Action, Adventure",tt3061046,Animation,Action,Adventure
Steven Universe,That Will Be All,9.6,2017,1542,Steven and the Gems make a daring escape.,"Animation, Action, Adventure",tt3061046,Animation,Action,Adventure
Suits,Character and Fitness,9.6,2017,4399,"All Harvey and Mike's work comes down to one hearing, but there's still one more challenge neither of them saw. Louis tries his best to resolve his fight with Tara, but is there any going back from what he told her?","Comedy, Drama",tt1632701,Comedy,Drama,
Steven Universe,Bismuth,9.6,2016,1718,Steven discovers something the Gems thought was lost to the past inside of Lion's mane.,"Animation, Action, Adventure",tt3061046,Animation,Action,Adventure
"Re: Zero, Starting Life in Another World",The Outside of Madness,9.6,2016,1487,Subaru reaches the Roswal mansion to find Rem dead in a horrendous way. Then he enters the mansion to see the way he is to pay for his mistakes.A new character or rather villain called ...                See full summary »,"Animation, Adventure, Drama",tt5607616,Animation,Adventure,Drama
Suits,P.S.L.,9.6,2016,3835,"Even with Mike now out of prison, the partners face a crisis that could be a death blow to the firm. Rachel and Jessica call a trick play in the Leonard Bailey trial. Louis contemplates his next move with Tara after another bombshell.","Comedy, Drama",tt1632701,Comedy,Drama,
Steven Universe,The Answer,9.6,2016,1583,Garnet tells Steven the story of how she became a crystal gem,"Animation, Action, Adventure",tt3061046,Animation,Action,Adventure
One Punch Man,Saikyô no hîrô,9.6,2015,5295,Saitama takes on the alien leader in epic battle as the S class heroes fight the alien warriors and destroy the spaceship.,"Animation, Action, Comedy",tt4508902,Animation,Action,Comedy
Code Black,Diagnosis of Exclusion,9.6,2016,1143,"The doctors are questioned following a violent incident inside the hospital that leaves two doctors gravely injured. Also, Neal and Christa make their relationship to the next level after ...                See full summary »",Drama,tt4452630,Drama,,
BoJack Horseman,"That's Too Much, Man!",9.6,2016,6660,"Bojack gets Sarah Lynn to break her sobriety to help drown his depression, and experiences the next few months through blackouts.","Animation, Comedy, Drama",tt3398228,Animation,Comedy,Drama
BoJack Horseman,Fish Out of Water,9.6,2016,8839,"As Bojack is forced to attend an underwater movie festival to promote his new movie, a series of events and the inability to communicate with underwater life ensures that not everything goes as planned.","Animation, Comedy, Drama",tt3398228,Animation,Comedy,Drama
Rick and Morty,The Rickshank Rickdemption,9.6,2017,20210,"Rick, still in galactic prison, puts an intricate escape plan into action. Back on Earth, which is now under federation control, Morty and Summer have an argument about their grandpa.","Animation, Adventure, Comedy",tt2861424,Animation,Adventure,Comedy
Suits,Tick Tock,9.6,2016,3705,"As Mike's case goes to the jury, he becomes distracted by a new case. Jessica and Harvey develop a new strategy to keep Mike in the clear, which sends Louis over the edge with his partners.","Comedy, Drama",tt1632701,Comedy,Drama,
How to Get Away with Murder,What Did We Do?,9.6,2015,3378,"ADA Sinclair finally gets her biggest break yet in the Hapstall case - but it comes with a deadly consequence as the details of the night Annalise was shot are revealed, and her shooter is finally unmasked.","Crime, Drama, Mystery",tt3205802,Crime,Drama,Mystery
Line of Duty,Breach,9.6,2016,2290,"Steve is arrested on suspicion of murder but continues to protest his innocence. Kate's undercover operation unveils unexpected facts, but will it hold the key to uncovering the identity of the Caddy?","Crime, Drama, Mystery",tt2303687,Crime,Drama,Mystery
The Originals,The Bloody Crown,9.6,2016,1796,"After months of thwarting off dangerous threats and deadly attacks, the Mikaelson siblings finally come face to face with the one person that could lead to their ultimate demise. With the ...                See full summary »","Drama, Fantasy, Horror",tt2632424,Drama,Fantasy,Horror
Rick and Morty,Total Rickall,9.6,2015,16906,The Smith house is locked down after parasites threaten to take over the world by multiplying through flashbacks.,"Animation, Adventure, Comedy",tt2861424,Animation,Adventure,Comedy
JoJo's Bizarre Adventure,"Long Journey Farewell, My Friends",9.6,2015,1235,The final battle between Jotaro and Dio comes to a climactic end.,"Animation, Action, Adventure",tt2359704,Animation,Action,Adventure
JoJo's Bizarre Adventure,"Dio's World, Part 3",9.6,2015,1223,The fight between Jotaro and Dio continues.,"Animation, Action, Adventure",tt2359704,Animation,Action,Adventure
JoJo's Bizarre Adventure,"Dio's World, Part 2",9.6,2015,1158,Kakyoin discovers The World's true power. The fight between Jotaro and Dio begins.,"Animation, Action, Adventure",tt2359704,Animation,Action,Adventure
Twin Peaks,Part 16,9.6,2017,5024,"No knock, no doorbell.","Crime, Drama, Horror",tt4093826,Crime,Drama,Horror
Doctor Who,Heaven Sent,9.6,2015,10574,"Trapped in a world unlike any other he has seen, the Doctor faces the greatest challenge of his many lives. One final test. And he must face it alone...","Adventure, Drama, Sci-Fi",tt0436992,Adventure,Drama,Sci-Fi
Person of Interest,.exe,9.6,2016,3636,"As Reese and Shaw race to catch up with Finch, he infiltrates a maximum-security government facility in a desperate mission which could mean the end for not only Samaritan, but for himself and The Machine as well.","Action, Crime, Drama",tt1839578,Action,Crime,Drama
Regular Show,Brilliant Century Duck Crisis Special,9.6,2015,2084,The Gang fights a giant robot monster bird.,"Animation, Action, Adventure",tt1710308,Animation,Action,Adventure
Gravity Falls,A Tale of Two Stans,9.6,2015,2767,"The reuniting of the Pine brothers Stanford and Stanley. A series of flashbacks from their lives are shown, and their history together is explained.","Animation, Action, Adventure",tt1865718,Animation,Action,Adventure
Steven Universe,Rose's Scabbard,9.6,2015,1785,"Lion finds the scabbard to Rose's lost sword. Steven knows where the sword is. Pearl realizes that Rose, the one person she was deeply intimate with, kept secrets from her and becomes highly emotional, confused and upset.","Animation, Action, Adventure",tt3061046,Animation,Action,Adventure
The Leftovers,International Assassin,9.6,2015,8106,"In the wake of Kevin's desperate decision to vanquish Patti, questions and answers emerge as the world adjusts to the repercussions of what comes next.","Drama, Fantasy, Mystery",tt2699128,Drama,Fantasy,Mystery
Person of Interest,Asylum,9.6,2015,4026,Reese and Fusco get caught in the war between Elias and Dominic while Finch and Root follow a clue to Shaw's whereabouts.,"Action, Crime, Drama",tt1839578,Action,Crime,Drama
The Leftovers,I Live Here Now,9.6,2015,7374,"The tensions between Kevin and John reach a climax, as the fourth anniversary of the Departure brings an unsettling threat to Miracle.","Drama, Fantasy, Mystery",tt2699128,Drama,Fantasy,Mystery
Banshee,Requiem,9.6,2016,2776,"Proctor has to deal with an angry brotherhood, Calvin faces Kurt, while Hood and Veronica come to a big realization.","Action, Crime, Drama",tt2017109,Action,Crime,Drama
Black Sails,XXVIII.,9.6,2016,3057,Hornigold and the British come for the pirates; Rackham and Bonny face impossible odds; Silver demands answers from Flint; Billy crowns a king.,"Action, Adventure, Drama",tt2375692,Action,Adventure,Drama
Peaky Blinders,Episode #3.6,9.6,2016,9057,"As Tommy prepares to commit the most audacious crime of his career, an unexpected blow forces him to face his worst fears in a race against time.","Crime, Drama",tt2442560,Crime,Drama,
The Flash,Fast Enough,9.6,2015,12212,"With the Particle Accelerator back online, Barry can go back in time to stop Eobard Thawne on the night of his mother's murder fifteen years ago.","Action, Adventure, Drama",tt3107288,Action,Adventure,Drama
The Flash,Out of Time,9.6,2015,14143,"Mark Mardon, returns to seek revenge on Joe for the death of Clyde, bearing the same weather-manipulation powers as his deceased sibling.","Action, Adventure, Drama",tt3107288,Action,Adventure,Drama
Person of Interest,The Devil You Know,9.6,2014,3545,Reese must save Elias from the Brotherhood. He can't get any help from Root or Shaw since Shaw's cover is blown and Root is escorting her to underground.,"Action, Crime, Drama",tt1839578,Action,Crime,Drama
Attack on Titan,OVA: No Regrets - Part 2,9.6,2015,5058,The second part of Levi and Erwin's back story together. Levi has decided to join the Survey Corps to avoid his previous crimes but what new challenges will he face and what does Erwin make...                See full summary »,"Animation, Action, Adventure",tt2560140,Animation,Action,Adventure
Homeland,There's Something Else Going On,9.6,2014,6229,Carrie improvises to salvage her mission. The CIA closes in on a leak.,"Crime, Drama, Mystery",tt1796960,Crime,Drama,Mystery
Arrow,The Climb,9.6,2014,11929,"The League of Assassins give Oliver 48 hours to find Sara's killer, or Starling City citizens will die. Oliver then has an epic confrontation with Ra's al Ghul.","Action, Adventure, Crime",tt2193021,Action,Adventure,Crime
Outlander,Dragonfly in Amber,9.6,2016,4604,"In 1968, Claire attends a wake with her daughter; in 1746, the battle of Culloden Moor is looming.","Drama, Fantasy, Romance",tt3006802,Drama,Fantasy,Romance
Sons of Anarchy,Papa's Goods,9.6,2014,6685,SAMCRO president Jax Teller takes the final steps towards fulfilling his father's legacy.,"Crime, Drama, Thriller",tt1124373,Crime,Drama,Thriller
The Legend of Korra,Venom of the Red Lotus,9.6,2014,3485,"After being captured and poisoned by the Red Lotus, Korra must fight to keep herself from being killed in the Avatar State, which would end the entire Avatar Cycle forever.","Animation, Action, Adventure",tt1695360,Animation,Action,Adventure
Banshee,A Fixer of Sorts,9.6,2015,3322,"Nola and Burton have a bloody confrontation. Tommy defies Chayton's orders and attacks Proctor's club. Hood's secret is threatened when a FBI agent shows up at his door, as someone close to him discovers the truth.","Action, Crime, Drama",tt2017109,Action,Crime,Drama
Parks and Recreation,Leslie and Ron,9.6,2015,3767,The gang locks Leslie and Ron in the old Parks Department office overnight and force them to settle their differences and end their feud.,Comedy,tt1266020,Comedy,,
Parks and Recreation,One Last Ride,9.6,2015,4585,"As the team gathers one final time before they go their separate ways, we look 10 years into the future for each team member.",Comedy,tt1266020,Comedy,,
Black Sails,XVIII.,9.6,2015,3396,Flint receives aid from an unlikely ally; Vane's crew seeks a change; Silver makes a sacrifice.,"Action, Adventure, Drama",tt2375692,Action,Adventure,Drama
Peaky Blinders,Episode #2.6,9.6,2014,10190,Tommy plans to execute the mission given to him by Campbell: the assassination of a high-ranking member of the military establishment.,"Crime, Drama",tt2442560,Crime,Drama,
The Originals,From a Cradle to a Grave,9.6,2014,2741,"As the baby's due date draws near, Klaus and Elijah embark on a search for Hayley, while Hayley determines to do whatever it takes to keep her unborn baby safe and away from the witches. ...                See full summary »","Drama, Fantasy, Horror",tt2632424,Drama,Fantasy,Horror
The Walking Dead,No Sanctuary,9.6,2014,26069,Carol takes drastic action to rescue Rick and the group from the cannibals of Terminus as she and Tyreese reach the compound. A familiar face makes a return.,"Drama, Horror, Thriller",tt1520211,Drama,Horror,Thriller
The Good Wife,Hitting the Fan,9.6,2013,1711,"When Will find out that Alicia and Cary are leaving the firm, he fires them and sets out to destroy them before they can get their new firm off the ground.","Crime, Drama, Mystery",tt1442462,Crime,Drama,Mystery
Person of Interest,Endgame,9.6,2013,3726,Finch receives 38 numbers at once from the Machine. He discovers they are connected to an unknown player who is inciting an all-out war between HR and the Russian mob.,"Action, Crime, Drama",tt1839578,Action,Crime,Drama
Glee,The Quarterback,9.6,2013,3323,The New Directions remember Finn.,"Comedy, Drama, Music",tt1327801,Comedy,Drama,Music
Game of Thrones,The Watchers on the Wall,9.6,2014,44709,The battle between the Night's Watch and the wildlings has come.,"Action, Adventure, Drama",tt0944947,Action,Adventure,Drama
Person of Interest,Zero Day,9.6,2013,3549,"They wait ten days for a new number due to a system virus, suspecting Root is the problem. It's for Ernest Thornhill, who isn't who, or what, he is supposed to be. At stake is The Machine - will it remain with Finch or end up with Decima?","Action, Crime, Drama",tt1839578,Action,Crime,Drama
Person of Interest,God Mode,9.6,2013,4013,"Reese and Finch team up with surprising allies in a race to save The Machine from Root and the mysterious international organization, Decima, who have both re-emerged with dangerous agendas.","Action, Crime, Drama",tt1839578,Action,Crime,Drama
House of Cards,Chapter 14,9.6,2014,8836,Frank prepares for his promotion to Vice President. Doug tries to erase all leads leading back to him and Frank. Claire fights back against Gillian. Zoe considers working with Frank again.,Drama,tt1856010,Drama,,
Regular Show,A Bunch of Full Grown Geese,9.6,2013,2083,"When the park becomes invaded by vicious territorial geese, Mordecai and Rigby seek the help of the baby ducks to get rid of them.","Animation, Action, Adventure",tt1710308,Animation,Action,Adventure
True Detective,Form and Void,9.6,2014,22720,An overlooked detail provides Hart and Cohle with an important new lead in their 17-year-old case.,"Crime, Drama, Mystery",tt2356777,Crime,Drama,Mystery
True Detective,The Secret Fate of All Life,9.6,2014,19721,Hart and Cohle share the spoils of a solved case; Papania and Gilbough confront the detectives with troubling new intelligence.,"Crime, Drama, Mystery",tt2356777,Crime,Drama,Mystery
Adventure Time,Simon & Marcy,9.6,2013,2314,"Marceline tells Finn and Jake about her and Ice King's past, 996 years ago.","Animation, Action, Adventure",tt1305826,Animation,Action,Adventure
Hunter x Hunter,Condition × and × Condition,9.6,2012,1813,Kurapika finds himself face to face with Uvogin.,"Animation, Action, Adventure",tt2098220,Animation,Action,Adventure
Adventure Time,I Remember You,9.6,2012,2401,The Ice King asks Marcelline the Vampire Queen to help him write a song.,"Animation, Action, Adventure",tt1305826,Animation,Action,Adventure
Young Justice,Bloodlines,9.6,2012,1972,A mysterious intruder appears inside Mount Justice claiming to be a time-traveling visitor from the future.,"Animation, Action, Adventure",tt1641384,Animation,Action,Adventure
Breaking Bad,Gliding Over All,9.6,2012,27153,"Walt expands his business overseas, and the money is pouring in.","Crime, Drama, Thriller",tt0903747,Crime,Drama,Thriller
Breaking Bad,Say My Name,9.6,2012,26914,Mike and Jesse are out. Now Walt has to handle things on his own. Hank finally finds a rat in Mike's gang.,"Crime, Drama, Thriller",tt0903747,Crime,Drama,Thriller
Breaking Bad,Confessions,9.6,2013,28016,"Walt makes his next move against Hank, putting Hank in a tough position. Hank confronts Jesse and attempts to turn him against Walt, and Jesse decides it's time to move on. Meanwhile, Todd has taken over the business.","Crime, Drama, Thriller",tt0903747,Crime,Drama,Thriller
The Legend of Korra,"Beginnings, Part 2",9.6,2013,3598,Korra delves deeper into the Avatar's past and realizes what she must do in order to restore balance between the physical and spirit worlds.,"Animation, Action, Adventure",tt1695360,Animation,Action,Adventure
Game of Thrones,And Now His Watch Is Ended,9.6,2013,36112,Jaime mopes over his lost hand. Cersei is growing uncomfortable with the Tyrells. The Night's Watch is growing impatient with Craster. Daenerys buys the Unsullied.,"Action, Adventure, Drama",tt0944947,Action,Adventure,Drama
Steins;Gate,Being Meltdown,9.6,2011,1622,"In order to continue his work against SERN, Okabe must finally choose between saving Kurisu or Mayuri.","Animation, Comedy, Drama",tt1910272,Animation,Comedy,Drama
Steins;Gate,Achievement Point,9.6,2011,1675,"Okabe has one final chance to travel back in time, set everything right, and save the girl he never even got to love. His mission is vital, but it may mean the end for the mad scientist.","Animation, Comedy, Drama",tt1910272,Animation,Comedy,Drama
Young Justice,Coldhearted,9.6,2012,2052,"On his birthday, Kid Flash must deliver a transplant heart in a race against time, artificial extreme weather conditions and supervillain opposition.","Animation, Action, Adventure",tt1641384,Animation,Action,Adventure
Psych,Last Night Gus,9.6,2011,1964,"Shawn, Gus, Lassiter, and Woody leave a boring party and create their own fun. They wake up in the Psych's office without a memory of the night. They find various clues which they do not understand, and learn there is a dead man involved.","Comedy, Crime, Mystery",tt0491738,Comedy,Crime,Mystery
Regular Show,A Bunch of Baby Ducks,9.6,2011,2242,Mordecai and Rigby come across a family of ducks living in a fountain at the park - and take quite a shine to them.,"Animation, Action, Adventure",tt1710308,Animation,Action,Adventure
Sherlock,The Reichenbach Fall,9.6,2012,37517,Jim Moriarty hatches a mad scheme to turn the whole city against Sherlock.,"Crime, Drama, Mystery",tt1475582,Crime,Drama,Mystery
Regular Show,Grave Sight,9.6,2011,2200,Mordecai and Rigby plan to host a scary-movie night at the abandoned cemetery in the park so they can raise enough funds to earn a paid-day off.,"Animation, Action, Adventure",tt1710308,Animation,Action,Adventure
Community,For a Few Paintballs More,9.6,2011,5752,"When the study group learns that there's a sinister plot behind the paintball tournament, they unite the remaining players to defeat the enemy.",Comedy,tt1439629,Comedy,,
Game of Thrones,Baelor,9.6,2011,42552,Robb goes to war against the Lannisters. Jon finds himself struggling on deciding if his place is with Robb or the Night's Watch. Drogo has fallen ill from a fresh battle wound. Daenerys is desperate to save him.,"Action, Adventure, Drama",tt0944947,Action,Adventure,Drama
Regular Show,Rage Against the TV,9.6,2011,2248,"When Mordecai and Rigby make it to the final level in a video-game, their T.V. screen goes black. Now they must find a new T.V. so they can finish the game.","Animation, Action, Adventure",tt1710308,Animation,Action,Adventure
Demon Slayer: Kimetsu no Yaiba,Gathering,9.6,2022,3915,"Putting Nezuko to rest, Tanjiro, along with Inosuke and Zenitsu, rushes to Uzui's aid, against his battle with the Upper Six Demons- Gyutaro and Daki.","Animation, Action, Adventure",tt9335498,Animation,Action,Adventure
Demon Slayer: Kimetsu no Yaiba,Transformation,9.6,2022,4443,"Nezuko overpowers Daki in their battle but she let blood lust overwhelm her and attacks a bystander. Tanjiro stops her in time. As he struggles to restrain her, Daki prepares to attack them...                See full summary »","Animation, Action, Adventure",tt9335498,Animation,Action,Adventure
Breaking Bad,Salud,9.6,2011,24911,"Jesse, Gus, and Mike fly down to Mexico, and Jesse cooks the blue meth for the cartel. Walt misses his son's 16th birthday after his fight with Jesse.","Crime, Drama, Thriller",tt0903747,Crime,Drama,Thriller
Fullmetal Alchemist: Brotherhood,Tobira no mukougawa,9.6,2010,2553,Ed fights the original homunculus known as 'The father' trying to defeat him in order to get his and Al's body back.,"Animation, Action, Adventure",tt1355642,Animation,Action,Adventure
Supernatural,The French Mistake,9.6,2011,9470,"To protect Sam and Dean from a surprise attack from Raphael, Balthazar sends them both into an alternate universe where their lives are a TV show called Supernatural (2005).","Drama, Fantasy, Horror",tt0460681,Drama,Fantasy,Horror
Breaking Bad,One Minute,9.6,2010,24266,"Jesse ends up in the hospital after getting beaten up by Hank. Now he is threatening to press charges against the DEA. To stop him, Walt decides to bring Jesse on as his partner, once again.","Crime, Drama, Thriller",tt0903747,Crime,Drama,Thriller
Demon Slayer: Kimetsu no Yaiba,Set Your Heart Ablaze,9.6,2021,2255,Akaza continues to offer Rengoku the chance to become a demon to improve his skills. Rengoku refuses his offer and tries his best to keep up with him. The Flame Hashira has one goal: to protect his comrades even if it costs him his own life.,"Animation, Action, Adventure",tt9335498,Animation,Action,Adventure
House M.D.,Help Me,9.6,2010,4506,"Cuddy, House and members of the team join forces with a search-and-rescue team to provide much-needed medical attention at the scene of an emergency.","Drama, Mystery",tt0412142,Drama,Mystery,
The Beatles: Get Back,Part 3: Days 17-22,9.6,2021,1107,The Beatles must decide if they will perform live for the first time in three years.,"Documentary, Music",tt9735318,Documentary,Music,
Broken But Beautiful,"And so, begin again",9.6,2021,4871,Everybody is giving their best for the test act before going to Broadway. Agastya turns down Rumi's advances at the after-party. Rumi gets the news that she is pregnant and decides to divorce Ishan.,"Drama, Romance",tt8317568,Drama,Romance,
Broken But Beautiful,Eternal Sunshine of the Helpless Mind.,9.6,2021,4765,Rumi sees Agastya at a book launch event with Sakshi. Rumi is surprised to see Agastya content with his new and simple life and decides to stalk him. Rumi auditions for Agastya's new play and is selected.,"Drama, Romance",tt8317568,Drama,Romance,
Castlevania,You Don't Deserve My Blood,9.6,2021,1830,As Isaac and his army of night creatures descend on Camilla's castle Hector rushes to finish his preparations before the bloody reunion begins.,"Animation, Action, Adventure",tt6517102,Animation,Action,Adventure
The Book of Boba Fett,Chapter 6: From the Desert Comes a Stranger,9.6,2022,13635,Mysteries are explored and Boba Fett learns new information.,"Action, Adventure, Sci-Fi",tt13668894,Action,Adventure,Sci-Fi
Tokyo Revengers,Revenge,9.6,2021,1345,"Naoto takes Takemichi to go meet Hinata. But despite the changes made in the present, Takemichi realizes that he himself has not changed at all.","Animation, Action, Crime",tt13196080,Animation,Action,Crime
Tokyo Revengers,Rerise,9.6,2021,1396,"Takemichi carries Draken away and regroups with Hinata and Emma. As they wait for an ambulance, Kiyomasa and his crew confront them.","Animation, Action, Crime",tt13196080,Animation,Action,Crime
Tokyo Revengers,Revolt,9.6,2021,1222,"Takemichi and Mitsuya find Draken fighting the Moebius gang on his own. After Mikey arrives, the person who set the entire attack in motion appears.","Animation, Action, Crime",tt13196080,Animation,Action,Crime
Aspirants,Teacher Sahi Hona Chahiye,9.6,2021,6782,"Abhilash is worried about his General Studies Exam. Dissatisfied with his mentor, he decides to quit his coaching institute.",Drama,tt14392248,Drama,,
Aspirants,UPSC - Optional Me Kya Hai?,9.6,2021,7729,Abhilash has stepped into the world of Old Rajinder Nagar to prepare for the UPSC exams. His choices become difficult as it is his last attempt and he is considering changing the optional subject.,Drama,tt14392248,Drama,,
Grey's Anatomy,Now or Never,9.6,2009,2658,"Izzie's memory problems panic Alex, the team takes care of a John Doe who was hit by a bus, Bailey rethinks her pediatrics fellowship, and the hospital endures losses.","Drama, Romance",tt0413573,Drama,Romance,
Jujutsu Kaisen,Accomplices,9.6,2021,2820,"Yuji and Nobara's battle against the Death Painting Wombs Kechizu and Eso reaches its conclusion. However, even in victory there is a cost in killing, something the Jujutsu students had ...                See full summary »","Animation, Action, Adventure",tt12343534,Animation,Action,Adventure
Attack on Titan,Above and Below,9.6,2021,20268,"With the Jaegerists now in charge, Zeke's master plan is revealed. But before it is put in motion, Eren recruits help to flush out any invaders in their midst.","Animation, Action, Adventure",tt2560140,Animation,Action,Adventure
House M.D.,Both Sides Now,9.6,2009,4949,"House and his team treat a patient who had his brain split in half, now it seems like one side of his brain is causing some health/behavioral issues. House plays games with Cuddy over the ...                See full summary »","Drama, Mystery",tt0412142,Drama,Mystery,
Chuck,Chuck Versus the Ring,9.6,2009,2114,Chuck is given an opportunity to rid himself of the Intersect but will have to protect Ellie from Fulcrum on her wedding day.,"Action, Comedy, Drama",tt0934814,Action,Comedy,Drama
Jujutsu Kaisen,Black Flash,9.6,2021,4015,The special grade cursed spirit Hanami has invaded the Goodwill Event! Can the students survive the onslaught and escape the curtain with their lives?,"Animation, Action, Adventure",tt12343534,Animation,Action,Adventure
Black Clover,Stirrings of the Strongest,9.6,2021,1153,"Yami and Vangeance are taken to the Spade Kingdom so that the ritual to open the gate to the underworld can begin. Despite how hurt he is, Asta tries to escape the infirmary to go and save ...                See full summary »","Animation, Action, Adventure",tt7441658,Animation,Action,Adventure
Attack on Titan,Assassin's Bullet,9.6,2021,30168,"Out of strength, the Armored Titan falls. Furious to have her hometown trampled, Gabi picks up a gun and takes off.","Animation, Action, Adventure",tt2560140,Animation,Action,Adventure
Brooklyn Nine-Nine,The Last Day Pt 2,9.6,2021,2897,The squad takes stock of their eight years together and look towards their future.,"Comedy, Crime",tt2467372,Comedy,Crime,
Superstore,All Sales Final,9.6,2021,1605,"The employees celebrate the past, present and future of Cloud 9.",Comedy,tt4477976,Comedy,,
Jujutsu Kaisen,"To You, Someday",9.6,2020,3061,"Itadori arrives, he discovers that Junpei has unleashed so much pain. Rather than asking why though, Itadori launches into his attempt to stop him. This leads to a violent confrontation between the two fledgling friends.","Animation, Action, Adventure",tt12343534,Animation,Action,Adventure
Black Clover,The Beginning of Hope and Despair,9.6,2021,1021,The Spade Kingdom successfully takes over the Diamond Kingdom and then sets their sights on the Clover Kingdom and Heart Kingdom. The Spade Kingdom troops get through the strong magic ...                See full summary »,"Animation, Action, Adventure",tt7441658,Animation,Action,Adventure
Dark,Between the Time,9.6,2020,15938,"Across three centuries, residents of Winden continue their desperate quest to alter their fates and save their loved ones.","Crime, Drama, Mystery",tt5753856,Crime,Drama,Mystery
